date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:56	258292/258292	---M--	200	added ('OK')	image/png	etag:%225d5c73e1ab64d51:0%22	http://www.basantrubber.net/images/sliders/s1.png	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/s1.png	(from http://www.basantrubber.net/)
19:55:03	293573/293573	---M--	200	added ('OK')	image/png	etag:%22862f99e4ab64d51:0%22	http://www.basantrubber.net/images/sliders/s3.png	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/s3.png	(from http://www.basantrubber.net/)
19:55:06	100203/100203	---M--	200	added ('OK')	image/jpeg	etag:%22a5f98e0ab64d51:0%22	http://www.basantrubber.net/images/sliders/mobile-s2.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/mobile-s2.jpg	(from http://www.basantrubber.net/)
19:55:08	330393/330393	---M--	200	added ('OK')	image/png	etag:%229d9ece2ab64d51:0%22	http://www.basantrubber.net/images/sliders/s2.png	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/s2.png	(from http://www.basantrubber.net/)
19:55:10	90373/90373	---M--	200	added ('OK')	image/jpeg	etag:%22345cbe0ab64d51:0%22	http://www.basantrubber.net/images/sliders/mobile-s3.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/sliders/mobile-s3.jpg	(from http://www.basantrubber.net/)
19:55:10	10461/10461	---M--	200	added ('OK')	image/jpeg	etag:%22da9eb884ab64d51:0%22	http://www.basantrubber.net/images/about1.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/about1.jpg	(from http://www.basantrubber.net/)
19:55:11	896/896	---M--	200	added ('OK')	image/png	etag:%22fe72fd87ab64d51:0%22	http://www.basantrubber.net/images/factory.png	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/factory.png	(from http://www.basantrubber.net/)
19:55:13	8441/8441	---M--	200	added ('OK')	image/jpeg	etag:%221af2af8bab64d51:0%22	http://www.basantrubber.net/images/makeinindialogo.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/makeinindialogo.jpg	(from http://www.basantrubber.net/)
19:55:14	54765/54765	---M--	200	added ('OK')	image/jpeg	etag:%2258c184ab64d51:0%22	http://www.basantrubber.net/images/about.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/about.jpg	(from http://www.basantrubber.net/)
19:55:14	9076/9076	---M--	200	added ('OK')	image/jpeg	etag:%22543ee5d7ab64d51:0%22	http://www.basantrubber.net/images/products/railways.jpg	C:/Users/bagak/OneDrive/Desktop/Project2/www.basantrubber.net/images/products/railways.jpg	(from http://www.basantrubber.net/)
